code,color_name,image_url,local_image_path
UG-51,China White,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-51_cone06.jpg,underglaze_images/ug-51_cone06.jpg
UG-67,Ivory,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-67_cone06.jpg,underglaze_images/ug-67_cone06.jpg
UG-222,Soft Yellow,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-222.jpg,underglaze_images/ug-222.jpg
UG-46,Bright Yellow,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-46_cone06.jpg,underglaze_images/ug-46_cone06.jpg
UG-203,Squash Yellow,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-203_cone06.jpg,underglaze_images/ug-203_cone06.jpg
UG-58,Harvest Gold,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-58_cone06.jpg,underglaze_images/ug-58_cone06.jpg
UG-85,Orange Sorbet,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-85_cone06.jpg,underglaze_images/ug-85_cone06.jpg
UG-223,Apricot,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-223.jpg,underglaze_images/ug-223.jpg
UG-204,Orange,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-204_cone06.jpg,underglaze_images/ug-204_cone06.jpg
UG-217,Red Coral,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-217_cone06.jpg,underglaze_images/ug-217_cone06.jpg
UG-206,Fire Engine Red,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-206_cone06.jpg,underglaze_images/ug-206_cone06.jpg
UG-207,Flame Red,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-207_cone06.jpg,underglaze_images/ug-207_cone06.jpg
UG-208,Dragon Red,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-208_cone06.jpg,underglaze_images/ug-208_cone06.jpg
UG-215,Blush,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-215_cone06.jpg,underglaze_images/ug-215_cone06.jpg
UG-146,Pink Pink,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-146_cone06.jpg,underglaze_images/ug-146_cone06.jpg
UG-216,Peach,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-216_cone06.jpg,underglaze_images/ug-216_cone06.jpg
UG-224,Rose,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-224.jpg,underglaze_images/ug-224.jpg
UG-10,Crimson,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-10_cone06.jpg,underglaze_images/ug-10_cone06.jpg
UG-92,Lilac,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-92_cone06.jpg,underglaze_images/ug-92_cone06.jpg
UG-87,Regal Purple,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-87_cone06.jpg,underglaze_images/ug-87_cone06.jpg
UG-225,Plum,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-225.jpg,underglaze_images/ug-225.jpg
UG-226,Lavender,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-226.jpg,underglaze_images/ug-226.jpg
UG-93,Wild Violet,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-93_cone06.jpg,underglaze_images/ug-93_cone06.jpg
UG-94,Pansy Purple,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-94_cone06.jpg,underglaze_images/ug-94_cone06.jpg
UG-227,Concord Grape,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-227.jpg,underglaze_images/ug-227.jpg
UG-3,Baby Blue,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-3_cone06.jpg,underglaze_images/ug-3_cone06.jpg
UG-72,Wedgewood Blue,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-72_cone06.jpg,underglaze_images/ug-72_cone06.jpg
UG-2,Sea Blue,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-2_cone06.jpg,underglaze_images/ug-2_cone06.jpg
UG-97,Bright Blue,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-97_cone06.jpg,underglaze_images/ug-97_cone06.jpg
UG-1,Kings Blue,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-1_cone06.jpg,underglaze_images/ug-1_cone06.jpg
UG-228,Midnight Blue,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-228.jpg,underglaze_images/ug-228.jpg
UG-19,Electra Blue,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-19_cone06.jpg,underglaze_images/ug-19_cone06.jpg
UG-82,Tucson Turquoise,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-82_cone06.jpg,underglaze_images/ug-82_cone06.jpg
UG-229,Aquamarine,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-229.jpg,underglaze_images/ug-229.jpg
UG-209,Jade,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-209_cone06.jpg,underglaze_images/ug-209_cone06.jpg
UG-91,True Teal,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-91_cone06.jpg,underglaze_images/ug-91_cone06.jpg
UG-219,Marine Blue,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-219_cone06.jpg,underglaze_images/ug-219_cone06.jpg
UG-230,Blue Grass,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-230.jpg,underglaze_images/ug-230.jpg
UG-218,Pear Green,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-218_cone06.jpg,underglaze_images/ug-218_cone06.jpg
UG-231,Lime Green,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-231.jpg,underglaze_images/ug-231.jpg
UG-22,Spring Green,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-22_cone06.jpg,underglaze_images/ug-22_cone06.jpg
UG-68,Apple Green,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-68_cone06.jpg,underglaze_images/ug-68_cone06.jpg
UG-233,Eucalyptus,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-233.jpg,underglaze_images/ug-233.jpg
UG-90,Green Mist,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-90_cone06.jpg,underglaze_images/ug-90_cone06.jpg
UG-21,Leaf Green,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-21_cone06.jpg,underglaze_images/ug-21_cone06.jpg
UG-210,Forest Green,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-210_cone06.jpg,underglaze_images/ug-210_cone06.jpg
UG-232,Olive,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-232.jpg,underglaze_images/ug-232.jpg
UG-220,Sage,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-220_cone06.jpg,underglaze_images/ug-220_cone06.jpg
UG-234,Ivory Pearl,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-234.jpg,underglaze_images/ug-234.jpg
UG-32,Cocoa,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-32_cone06.jpg,underglaze_images/ug-32_cone06.jpg
UG-30,Sand,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-30_cone06.jpg,underglaze_images/ug-30_cone06.jpg
UG-235,Oatmeal,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-235.jpg,underglaze_images/ug-235.jpg
UG-57,Spice Brown,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-57_cone06.jpg,underglaze_images/ug-57_cone06.jpg
UG-213,Cinnamon,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-213_cone06.jpg,underglaze_images/ug-213_cone06.jpg
UG-31,Chocolate,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-31_cone06.jpg,underglaze_images/ug-31_cone06.jpg
UG-221,Cement,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-221_cone06.jpg,underglaze_images/ug-221_cone06.jpg
UG-34,Chestnut Brown,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-34_cone06.jpg,underglaze_images/ug-34_cone06.jpg
UG-53,Silver Grey,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-53_cone06.jpg,underglaze_images/ug-53_cone06.jpg
UG-236,Grey,https://www.maycocolors.com/wp-content/uploads/2023/01/ug-236.jpg,underglaze_images/ug-236.jpg
UG-198,Dark Grey,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-198_cone06.jpg,underglaze_images/ug-198_cone06.jpg
UG-50,Jet Black,https://www.maycocolors.com/wp-content/uploads/2020/10/ug-50_cone06.jpg,underglaze_images/ug-50_cone06.jpg
